bun test v1.3.14 (0d9b296a)

test/e2e/fleet.e2e.ts.test.ts:
timestamp=2026-06-15T01:11:20.575Z level=INFO fiber=#5 message="Gateway run started" gateway:run=0ms runId=run-atlas transport=ws triggeredBy=fleet-control role=operator workflow=panopticon-fleet-control service=smithers source=user userId=fleet-control resume=false connectionId=fleet-control:connection
timestamp=2026-06-15T01:11:23.150Z level=INFO fiber=#958 message="getNodeOutput completed" runId=run-atlas durationMs=1.5904169999998885 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:23.176Z level=INFO fiber=#964 message="getNodeOutput completed" runId=run-atlas durationMs=1.3775829999999587 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:23.204Z level=INFO fiber=#970 message="getNodeOutput completed" runId=run-atlas durationMs=1.1827080000002752 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:23.230Z level=INFO fiber=#976 message="getNodeOutput completed" runId=run-atlas durationMs=1.4175000000000182 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:23.257Z level=INFO fiber=#982 message="getNodeOutput completed" runId=run-atlas durationMs=1.2603329999997186 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:23.282Z level=INFO fiber=#988 message="getNodeOutput completed" runId=run-atlas durationMs=1.268999999999778 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:23.310Z level=INFO fiber=#994 message="getNodeOutput completed" runId=run-atlas durationMs=1.2555409999999938 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:23.336Z level=INFO fiber=#1000 message="getNodeOutput completed" runId=run-atlas durationMs=1.125416000000314 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:23.362Z level=INFO fiber=#1006 message="getNodeOutput completed" runId=run-atlas durationMs=1.1246659999997064 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:23.388Z level=INFO fiber=#1012 message="getNodeOutput completed" runId=run-atlas durationMs=1.3425830000001042 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:23.415Z level=INFO fiber=#1018 message="getNodeOutput completed" runId=run-atlas durationMs=1.4934170000001359 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
